Log,Min SOC,Max SOC,SoH,shutdown min cell,shutdown max cell,boot min cell,boot max cell,min temp,max temp,Max Current,Cycle Number,logged wo sleep,cycle inc,shutdown min volt,shutdown max volt,boot min volt,boot max volt,shutdown capacity,accum charge,accum discharge,binary
154,84,99,0,9,5,10,8,23,34,29,12,0,0,3940,3980,4280,4360,8923,91,1648,9A 54 63 00 47 52 77 1D 00 0C 00 8A D6 DA 59 C5 C7 DB 22 5B 00 00 67 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
153,65,82,0,9,4,10,5,24,33,33,12,0,0,3900,3920,3900,3940,7725,1888,1008,99 41 52 00 48 51 78 21 00 0C 00 5A C3 C5 49 C3 C4 2D 1E 60 07 00 3F 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
152,56,65,0,10,5,9,5,23,27,15,12,0,0,3920,3960,3840,3860,6845,966,16,98 38 41 00 47 4B 6F 0F 00 0C 00 59 C0 C1 5A C4 C6 BD 1A C6 03 00 01 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
151,56,90,0,3,5,10,8,34,47,24,12,0,0,3780,3820,4260,4300,5906,8,3584,97 38 5A 00 52 5F 79 18 00 0C 00 8A D5 D7 53 BD BF 12 17 08 00 00 E0 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
150,58,93,0,11,10,10,5,23,44,20,12,1,1,4020,4460,4180,4240,9486,3553,3712,96 3A 5D 00 47 5C 79 14 00 0C C0 5A D1 D4 AB C9 DF 0E 25 E1 0D 00 E8 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
149,89,91,0,10,0,10,5,24,25,0,11,0,0,4180,4240,4140,4200,9648,223,0,95 59 5B 00 48 49 77 00 00 0B 00 5A CF D2 0A D1 D4 B0 25 DF 00 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
148,99,100,0,10,0,10,0,23,24,0,11,0,0,4200,4260,4180,4240,10500,92,0,94 63 64 00 47 48 73 00 00 0B 00 0A D1 D4 0A D2 D5 04 29 5C 00 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
147,82,99,0,10,0,10,4,22,27,0,11,0,0,4200,4240,4020,4080,10486,1860,0,93 52 63 00 46 4B 77 00 00 0B 00 4A C9 CC 0A D2 D4 F6 28 44 07 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
146,82,100,0,3,11,10,4,23,30,28,11,0,0,4000,4060,4240,4280,8626,15,1872,92 52 64 00 47 4E 77 1C 00 0B 00 4A D4 D6 B3 C8 CB B2 21 0F 00 00 75 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
145,99,100,0,10,4,10,4,23,23,0,11,0,0,4240,4280,4240,4280,10500,7,0,91 63 64 00 47 47 52 00 00 0B 00 4A D4 D6 4A D4 D6 04 29 07 00 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
144,97,100,0,10,8,10,11,22,23,0,11,0,0,4300,4340,4160,4220,10500,933,0,90 61 64 00 46 47 77 00 00 0B 00 BA D0 D3 8A D7 D9 04 29 A5 03 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
143,97,97,0,3,11,3,7,26,26,1,11,0,0,4180,4220,4180,4220,10190,5,0,8F 61 61 00 4A 4A 76 01 00 0B 00 73 D1 D3 B3 D1 D3 CE 27 05 00 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
142,96,97,0,3,11,3,8,27,31,0,11,0,0,4180,4220,4220,4280,10186,28,0,8E 60 61 00 4B 4F 78 00 00 0B 00 83 D3 D6 B3 D1 D3 CA 27 1C 00 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
