Log,Min SOC,Max SOC,SoH,shutdown min cell,shutdown max cell,boot min cell,boot max cell,min temp,max temp,Max Current,Cycle Number,logged wo sleep,cycle inc,shutdown min volt,shutdown max volt,boot min volt,boot max volt,shutdown capacity,accum charge,accum discharge,binary,,,,
125,99,100,0,10,0,10,11,22,23,0,5,0,0,4320,4340,4280,4320,10500,188,0,7D 63 64 00 46 47 71 00 00 05 00 BA D6 D8 0A D8 D9 04 29 BC 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
124,97,100,0,10,8,10,0,22,22,0,5,0,0,4320,4340,4240,4260,10500,482,0,7C 61 64 00 46 46 72 00 00 05 00 0A D4 D5 8A D8 D9 04 29 E2 01 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
123,97,100,0,10,11,10,11,24,26,4,5,0,0,4240,4260,4280,4340,10277,37,256,7B 61 64 00 48 4A 74 04 00 05 00 BA D6 D9 BA D4 D5 25 28 25 00 00 10 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
122,84,100,0,10,0,2,8,22,25,0,5,0,0,4300,4340,4100,4140,10500,2109,0,7A 54 64 00 46 49 76 00 00 05 00 82 CD CF 0A D7 D9 04 29 3D 08 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
121,95,95,0,2,8,11,8,26,29,0,5,0,0,4120,4160,4160,4340,10012,28,0,79 5F 5F 00 4A 4D 76 00 00 05 00 8B D0 D9 82 CE D0 1C 27 1C 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
120,57,95,0,11,8,3,6,23,28,0,5,0,1,4160,4360,3820,3820,9984,3981,0,78 39 5F 00 47 4C 76 00 00 05 80 63 BF BF 8B D0 DA 00 27 8D 0F 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
119,56,94,0,9,11,2,8,29,46,28,5,1,0,3780,3800,4140,4160,6003,70,3920,77 38 5E 00 4D 5E 77 1C 00 05 40 82 CF D0 B9 BD BE 73 17 46 00 00 F5 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
118,93,93,0,2,8,11,8,27,28,0,4,0,0,4160,4180,4180,4340,9859,23,0,76 5D 5D 00 4B 4C 73 00 00 04 00 8B D1 D9 82 D0 D1 83 26 17 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
117,63,65,0,10,5,10,6,23,23,7,4,0,0,3860,3880,3880,3900,6625,1,192,75 3F 41 00 47 47 59 07 00 04 00 6A C2 C3 5A C1 C2 E1 19 01 00 00 0C 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
116,51,51,0,10,11,9,11,25,35,0,4,0,0,3880,3900,3780,3940,5432,62,0,74 33 33 00 49 53 71 00 00 04 00 B9 BD C5 BA C2 C3 38 15 3E 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
115,98,98,0,11,7,11,8,24,25,0,4,0,0,4260,4280,4280,4360,10392,6,0,73 62 62 00 48 49 74 00 00 04 00 8B D6 DA 7B D5 D6 98 28 06 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
114,76,98,0,11,8,3,0,22,24,0,4,0,1,4280,4360,4000,4020,10387,2347,0,72 4C 62 00 46 48 72 00 00 04 80 03 C8 C9 8B D6 DA 93 28 2B 09 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
113,91,92,0,9,8,11,8,25,26,0,4,0,0,4160,4180,4180,4340,9674,24,0,71 5B 5C 00 49 4A 75 00 00 04 00 8B D1 D9 89 D0 D1 CA 25 18 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
112,69,91,0,11,8,3,8,22,25,0,4,0,1,4180,4340,3940,3960,9650,2327,0,70 45 5B 00 46 49 75 00 00 04 80 83 C5 C6 8B D1 D9 B2 25 17 09 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
111,55,56,0,9,5,9,11,26,36,0,4,0,0,3900,3920,3820,3960,5916,51,0,6F 37 38 00 4A 54 72 00 00 04 00 B9 BF C6 59 C3 C4 1C 17 33 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
110,98,98,0,9,8,11,8,24,25,0,4,0,0,4180,4200,4220,4340,10384,15,0,6E 62 62 00 48 49 74 00 00 04 00 8B D3 D9 89 D1 D2 90 28 0F 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
109,74,98,0,11,8,3,4,21,25,0,4,0,1,4220,4340,3920,3960,10369,2530,0,6D 4A 62 00 45 49 74 00 00 04 80 43 C4 C6 8B D3 D9 81 28 E2 09 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
108,74,77,0,10,11,10,4,23,24,6,4,0,0,3900,3940,3960,3980,7839,1,304,6C 4A 4D 00 47 48 4D 06 00 04 00 4A C6 C7 BA C3 C5 9F 1E 01 00 00 13 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
107,76,100,0,10,5,9,5,26,36,20,4,0,0,3940,3980,4240,4300,8142,301,2448,6B 4C 64 00 4A 54 76 14 00 04 00 59 D4 D7 5A C5 C7 CE 1F 2D 01 00 99 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
106,60,100,0,9,5,6,5,22,29,0,4,0,0,4260,4300,3840,3880,10500,4227,0,6A 3C 64 00 46 4D 76 00 00 04 00 56 C0 C2 59 D5 D7 04 29 83 10 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
105,60,60,0,7,11,7,11,23,23,0,4,0,0,3840,3880,3840,3860,6372,12,0,69 3C 3C 00 47 47 55 00 00 04 00 B7 C0 C1 B7 C0 C2 E4 18 0C 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
104,60,61,0,7,11,7,11,21,22,2,4,0,0,3840,3860,3860,3880,6361,1,112,68 3C 3D 00 45 46 4B 02 00 04 00 B7 C1 C2 B7 C0 C1 D9 18 01 00 00 07 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
103,57,82,0,7,10,9,11,32,35,0,4,0,0,4320,4340,3820,4020,8708,2705,0,67 39 52 00 50 53 77 00 00 04 00 B9 BF C9 A7 D8 D9 04 22 91 0A 00 00 00 05 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
102,89,95,0,1,10,0,11,22,23,0,4,0,0,4320,4340,4220,4260,10043,676,0,66 59 5F 00 46 47 6E 00 00 04 00 B0 D3 D5 A1 D8 D9 3B 27 A4 02 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
